Torque,Biceps,Triceps,Envelope
-2.10419,3.32642E-05,6.56128E-05,-2.75606
-2.05668,3.54004E-05,5.31006E-05,-2.75087
-2.23995,3.35693E-05,5.70679E-05,-2.74567
-1.88699,3.90625E-05,6.95801E-05,-2.74045
-1.77838,3.87573E-05,6.43921E-05,-2.73522
-1.79196,3.2959E-05,6.89697E-05,-2.72997
-2.00916,3.54004E-05,6.92749E-05,-2.72471
-1.83947,3.32642E-05,7.41577E-05,-2.71944
-1.98201,3.41797E-05,6.10352E-05,-2.71416
-2.04989,3.50952E-05,5.31006E-05,-2.70886
-2.01595,3.38745E-05,6.28662E-05,-2.70355
-2.16528,3.69263E-05,5.95093E-05,-2.69823
-2.15849,2.44141E-05,6.01196E-05,-2.6929
-1.91414,2.92969E-05,6.2561E-05,-2.68756
-1.94129,3.84521E-05,5.79834E-05,-2.68221
-1.79196,3.32642E-05,6.7749E-05,-2.67686
-1.80553,2.99072E-05,6.19507E-05,-2.67149
-2.11098,3.93677E-05,6.19507E-05,-2.66611
-1.9888,2.99072E-05,6.98853E-05,-2.66073
-2.00916,2.50244E-05,6.28662E-05,-2.65533
-2.05668,3.75366E-05,5.70679E-05,-2.64993
-1.95486,3.479E-05,6.073E-05,-2.64452
-2.17886,3.60107E-05,7.1106E-05,-2.63911
-1.80553,3.44849E-05,6.073E-05,-2.63369
-1.92092,3.96729E-05,5.61523E-05,-2.62826
-1.87341,3.93677E-05,5.70679E-05,-2.62283
-1.75802,3.23486E-05,5.7373E-05,-2.6174
-1.8259,2.7771E-05,4.8523E-05,-2.61196
-2.33497,2.65503E-05,5.79834E-05,-2.60651
-2.00916,3.08228E-05,6.68335E-05,-2.60106
-2.08383,2.10571E-05,6.19507E-05,-2.59561
-2.13134,2.92969E-05,6.80542E-05,-2.59016
-2.15849,3.50952E-05,6.5918E-05,-2.5847
-1.83947,3.60107E-05,6.74438E-05,-2.57924
-1.80553,3.96729E-05,6.073E-05,-2.57378
-1.92092,3.66211E-05,5.79834E-05,-2.56832
-1.79875,4.18091E-05,5.79834E-05,-2.56286
-1.77838,3.8147E-05,7.1106E-05,-2.5574
-1.97523,4.48608E-05,6.53076E-05,-2.55194
-2.17207,5.09644E-05,6.40869E-05,-2.54648
-2.01595,4.30298E-05,6.073E-05,-2.54102
-2.15849,3.66211E-05,6.43921E-05,-2.53556
-2.14492,3.11279E-05,6.01196E-05,-2.5301
-1.99559,3.78418E-05,6.40869E-05,-2.52465
-1.83268,3.479E-05,7.1106E-05,-2.5192
-1.8259,3.14331E-05,6.5918E-05,-2.51375
-1.91414,3.20435E-05,5.79834E-05,-2.50831
-1.89377,2.80762E-05,6.5918E-05,-2.50286
-2.00238,3.54004E-05,5.98145E-05,-2.49743
-2.05668,3.35693E-05,6.68335E-05,-2.492
-2.15849,2.71606E-05,7.14111E-05,-2.48657
-2.0974,2.16675E-05,5.7373E-05,-2.48115
-2.00238,2.99072E-05,6.13403E-05,-2.47574
-1.98201,2.22778E-05,6.71387E-05,-2.47033
-1.91414,1.7395E-05,6.92749E-05,-2.46493
-1.78517,2.53296E-05,6.34766E-05,-2.45954
-1.77838,3.38745E-05,5.64575E-05,-2.45415
-1.87341,3.479E-05,5.67627E-05,-2.44878
-2.0431,4.02832E-05,5.88989E-05,-2.44341
-2.02274,3.60107E-05,5.15747E-05,-2.43805
-2.16528,3.2959E-05,4.57764E-05,-2.4327
-2.26031,4.11987E-05,5.52368E-05,-2.42736
-1.92092,3.26538E-05,4.94385E-05,-2.42203
-1.85983,3.93677E-05,4.79126E-05,-2.41671
-2.16528,4.11987E-05,5.27954E-05,-2.4114
-1.81911,3.54004E-05,5.70679E-05,-2.4061
-1.79196,2.86865E-05,6.5918E-05,-2.40082
-1.96165,3.32642E-05,5.58472E-05,-2.39555
-1.85983,4.11987E-05,5.24902E-05,-2.39028
-2.07025,3.54004E-05,5.88989E-05,-2.38504
-2.07025,2.99072E-05,6.28662E-05,-2.3798
-2.30104,3.54004E-05,7.44629E-05,-2.37458
-1.9345,3.44849E-05,7.01904E-05,-2.36938
-1.77838,2.65503E-05,5.85937E-05,-2.36418
-1.81232,3.05176E-05,5.67627E-05,-2.35901
-2.13813,3.05176E-05,6.01196E-05,-2.35384
-1.78517,3.08228E-05,5.82886E-05,-2.3487
-1.98201,3.69263E-05,5.46265E-05,-2.34357
-2.07025,3.20435E-05,6.16455E-05,-2.33845
-2.0431,3.50952E-05,5.58472E-05,-2.33336
-2.15849,3.38745E-05,5.76782E-05,-2.32827
-2.19243,2.7771E-05,6.04248E-05,-2.32321
-2.01595,3.479E-05,6.50024E-05,-2.31817
-1.8802,3.44849E-05,6.68335E-05,-2.31314
-1.77838,3.479E-05,5.76782E-05,-2.30813
-1.81232,3.05176E-05,6.22559E-05,-2.30314
-1.92771,4.02832E-05,6.74438E-05,-2.29817
-1.95486,3.93677E-05,6.16455E-05,-2.29321
-1.99559,3.60107E-05,6.40869E-05,-2.28828
-2.14492,4.05884E-05,6.86646E-05,-2.28337
-2.26031,3.78418E-05,6.68335E-05,-2.27848
-2.2128,3.9978E-05,6.95801E-05,-2.27361
-1.87341,3.87573E-05,6.2561E-05,-2.26875
-1.92092,3.17383E-05,6.34766E-05,-2.26393
-1.8802,3.23486E-05,5.49316E-05,-2.25912
-1.79196,2.99072E-05,5.21851E-05,-2.25433
-1.85305,3.66211E-05,5.98145E-05,-2.24957
-2.07704,2.80762E-05,6.10352E-05,-2.24483
-2.00916,3.17383E-05,6.53076E-05,-2.24011
-2.08383,3.14331E-05,6.22559E-05,-2.23541
-2.32819,4.02832E-05,6.89697E-05,-2.23074
-2.17886,3.02124E-05,6.34766E-05,-2.22609
-1.81911,3.63159E-05,6.62231E-05,-2.22147
-1.81911,4.76074E-05,7.44629E-05,-2.21687
-1.6562,3.17383E-05,7.20215E-05,-2.21229
-1.79875,3.75366E-05,7.2937E-05,-2.20774
-1.74444,2.92969E-05,6.34766E-05,-2.20322
-2.02953,2.50244E-05,5.76782E-05,-2.19872
-2.0974,3.41797E-05,5.85937E-05,-2.19424
-2.01595,3.23486E-05,4.57764E-05,-2.18979
-2.14492,2.74658E-05,5.24902E-05,-2.18537
-2.49788,2.80762E-05,5.43213E-05,-2.18097
-1.80553,2.65503E-05,5.46265E-05,-2.1766
-1.80553,2.68555E-05,5.31006E-05,-2.17226
-1.8259,3.05176E-05,5.95093E-05,-2.16794
-1.64942,3.57056E-05,5.61523E-05,-2.16365
-1.79875,3.479E-05,6.22559E-05,-2.15939
-1.98201,3.08228E-05,6.65283E-05,-2.15515
-2.0974,3.60107E-05,5.92041E-05,-2.15095
-2.0974,3.66211E-05,6.92749E-05,-2.14677
-2.03632,3.479E-05,7.08008E-05,-2.14262
-2.19243,3.84521E-05,7.87353E-05,-2.13849
-2.02953,3.20435E-05,6.56128E-05,-2.1344
-1.74444,3.2959E-05,6.16455E-05,-2.13033
-1.76481,3.87573E-05,5.58472E-05,-2.1263
-1.79875,4.08936E-05,6.13403E-05,-2.12229
-1.91414,3.14331E-05,6.04248E-05,-2.11831
-1.9888,3.14331E-05,5.18799E-05,-2.11436
-2.02953,3.32642E-05,6.04248E-05,-2.11044
-2.17886,2.89917E-05,5.21851E-05,-2.10655
-2.17886,2.80762E-05,5.76782E-05,-2.10269
-2.07704,2.80762E-05,5.61523E-05,-2.09886
-1.83268,2.62451E-05,5.95093E-05,-2.09506
-1.87341,3.38745E-05,5.46265E-05,-2.0913
-1.71729,3.23486E-05,5.06592E-05,-2.08756
-1.72408,3.17383E-05,5.24902E-05,-2.08385
-1.9345,3.32642E-05,5.52368E-05,-2.08017
-2.10419,3.41797E-05,6.89697E-05,-2.07652
-1.99559,3.26538E-05,7.41577E-05,-2.07291
-2.02274,4.11987E-05,6.95801E-05,-2.06932
-2.11777,2.92969E-05,5.92041E-05,-2.06577
-2.0431,3.23486E-05,6.37817E-05,-2.06224
-1.77838,3.32642E-05,6.13403E-05,-2.05875
-1.84626,4.05884E-05,5.95093E-05,-2.05529
-1.87341,3.78418E-05,5.95093E-05,-2.05186
-1.72408,3.479E-05,5.7373E-05,-2.04847
-1.86662,3.90625E-05,5.67627E-05,-2.0451
-2.30104,3.32642E-05,6.65283E-05,-2.04177
-2.02274,2.71606E-05,6.71387E-05,-2.03847
-2.0974,2.59399E-05,6.31714E-05,-2.0352
-2.11098,3.26538E-05,6.31714E-05,-2.03196
-1.80553,2.83813E-05,7.01904E-05,-2.02875
-1.79875,3.17383E-05,6.31714E-05,-2.02558
-1.76481,3.75366E-05,5.37109E-05,-2.02243
-1.85983,3.75366E-05,6.46973E-05,-2.01932
-1.80553,3.96729E-05,6.34766E-05,-2.01624
-1.83947,3.44849E-05,6.34766E-05,-2.0132
-1.96165,3.41797E-05,6.04248E-05,-2.01018
-2.34855,3.41797E-05,6.34766E-05,-2.0072
